"Pitch_ID","Velocity","Total_Spin","True_Spin","Spin_Efficiency","Horizontal_Break","Vertical_Break","Release_Height","Release_Horizontal_Extension","Pitch_Name"
1,73.1,1784,1655,92.7,14,11.7,4.9,1.8,"Curveball"
2,73.8,1274,1096,86,11.3,8.9,4.9,1.9,"Curveball"
3,76.6,1852,1410,76.1,10.3,11,4.7,2.1,"Curveball"
4,77.2,1939,1625,83.8,12.4,10.6,5.1,1.8,"Curveball"
5,86.8,2020,1831,90.6,7.8,15.4,5.4,0.5,"Fastball"
6,86.4,2049,1859,90.7,7.3,16,5.4,0.5,"Fastball"
7,80.6,1441,1418,98.4,6.1,15.3,5.3,0.6,"Changeup"
8,83.2,2114,1902,90,7.2,16.2,5.4,0.6,"Fastball"
9,78.9,1547,1383,89.4,6,14.2,5.3,0.6,"Changeup"
10,84.9,2032,1983,97.6,6.7,17.7,5.5,0.7,"Fastball"
11,83.5,1986,1927,97,7.1,16.7,5.4,0.3,"Fastball"
12,85.5,1971,1926,97.7,6.7,17.1,5.4,0.5,"Fastball"
13,80.6,1402,1361,97.1,6.2,14.4,5.2,0.6,"Changeup"
14,83.6,1889,1827,96.7,6.4,17.1,5.4,0.5,"Fastball"
15,78.1,1538,1490,96.9,5.8,15.8,5.5,0.4,"Changeup"
16,80.9,1976,1901,96.2,5.5,17.4,5.3,0.6,"Fastball"
17,82.2,1916,1873,97.8,6.3,17.5,5.4,0.3,"Fastball"
18,81.3,1952,1801,92.3,3.3,17,5.5,0.6,"Fastball"
19,80.9,1832,1779,97.1,5.7,16.9,5.4,0.6,"Fastball"
20,81.4,1863,1670,89.7,6.1,15.6,5.4,0.7,"Fastball"
21,84.2,2038,1986,97.4,5.9,18,5.4,0.7,"Fastball"
22,76.7,1370,1338,97.7,6,14.5,5.3,0.4,"Changeup"
23,79.8,1472,1447,98.3,5.3,15.8,5.4,0.5,"Changeup"
24,83.2,1974,1825,92.5,8.1,15.9,5.5,0.5,"Fastball"
25,79.2,1432,1422,99.4,6.5,15.5,5.4,0.6,"Changeup"
26,86,2009,1954,97.2,6.7,16.9,5.4,0.5,"Fastball"
27,80,1529,1528,99.9,7.7,15.4,5.4,0.4,"Changeup"
28,82.2,1550,1524,98.3,6.6,15.5,5.3,0.6,"Changeup"
29,82.6,1838,1762,95.8,5.2,16.8,5.6,0.4,"Fastball"
30,82.3,1830,1793,98,6.2,17.6,5.7,0.5,"Fastball"
31,76.9,1412,1398,99,9.3,13.8,5.5,0.7,"Changeup"
32,79.4,1197,1164,97.2,5.7,13.5,5.4,0.7,"Changeup"
33,85.8,1700,1665,97.9,6.7,15.9,5.5,0.4,"Fastball"
34,82.7,1803,1663,92.3,6.8,15.4,5.5,0.6,"Fastball"
35,80.1,1912,1658,86.7,4.3,15.7,5.5,0.5,"Fastball"
36,79.1,1558,1533,98.4,6.1,16.2,5.4,0.6,"Changeup"
